epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6347,1.49729,1.86723,1.23726,0.73767,0.2345,0.26106,0.15953,1.188,1.04977,1.05412,0.000184189,0.000184189,0.000184189
2,38.4361,1.23717,1.08722,1.09666,0.56306,0.33908,0.34199,0.22649,1.14407,0.9435,1.04028,0.000365864,0.000365864,0.000365864
3,55.7193,1.20819,1.02239,1.08146,0.54438,0.39117,0.37022,0.23405,1.15661,0.97533,1.04697,0.00054387,0.00054387,0.00054387
4,72.7994,1.19289,0.98613,1.07447,0.57414,0.4131,0.40023,0.25791,1.10448,0.92211,1.03177,0.000539487,0.000539487,0.000539487
5,89.9252,1.16283,0.95197,1.0622,0.59286,0.39595,0.3952,0.25181,1.11289,0.89402,1.02328,0.000533982,0.000533982,0.000533982
6,107.161,1.15339,0.93168,1.05627,0.62508,0.44145,0.44119,0.27925,1.11313,0.90023,1.02284,0.000528478,0.000528478,0.000528478
7,124.082,1.13707,0.91428,1.04936,0.53638,0.4747,0.44739,0.28887,1.07963,0.86985,1.01677,0.000522974,0.000522974,0.000522974
8,140.926,1.12609,0.89539,1.04789,0.66856,0.42932,0.46144,0.30679,1.0819,0.87505,1.01851,0.000517469,0.000517469,0.000517469
9,158.081,1.11939,0.88689,1.04653,0.57603,0.48189,0.47275,0.31176,1.10174,0.85423,1.02328,0.000511965,0.000511965,0.000511965
10,174.999,1.11626,0.88085,1.04192,0.6436,0.42916,0.4561,0.3021,1.1169,0.85679,1.01827,0.00050646,0.00050646,0.00050646
11,191.982,1.09607,0.86171,1.03854,0.60376,0.44156,0.46175,0.31092,1.05164,0.85315,1.00659,0.000500956,0.000500956,0.000500956
12,208.835,1.10315,0.86642,1.03853,0.55394,0.47521,0.46491,0.31089,1.06196,0.82564,1.00728,0.000495452,0.000495452,0.000495452
13,225.66,1.07879,0.8465,1.02736,0.58205,0.48353,0.48836,0.31155,1.08605,0.86043,1.01972,0.000489947,0.000489947,0.000489947
14,242.492,1.08796,0.83424,1.02751,0.54537,0.47857,0.51307,0.35105,1.04755,0.80997,1.01048,0.000484443,0.000484443,0.000484443
15,259.556,1.07536,0.83064,1.02255,0.49493,0.48832,0.47566,0.31641,1.05495,0.81655,1.01118,0.000478938,0.000478938,0.000478938
16,276.765,1.0671,0.82231,1.02231,0.4431,0.51024,0.49855,0.3338,1.05312,0.8034,1.00619,0.000473434,0.000473434,0.000473434
17,293.756,1.05689,0.81276,1.01917,0.60848,0.49344,0.54883,0.3601,1.03695,0.79855,1.00481,0.00046793,0.00046793,0.00046793
18,310.852,1.06129,0.80041,1.01568,0.57224,0.49912,0.53022,0.36798,1.04142,0.79419,1.00209,0.000462425,0.000462425,0.000462425
19,327.836,1.04465,0.79789,1.01445,0.55153,0.49477,0.51907,0.34404,1.05335,0.81457,1.01045,0.000456921,0.000456921,0.000456921
20,344.683,1.05058,0.7948,1.01262,0.57273,0.46821,0.49306,0.33952,1.04397,0.79269,1.00696,0.000451416,0.000451416,0.000451416
21,361.526,1.04275,0.78866,1.01341,0.66259,0.48341,0.52996,0.34998,1.04845,0.79775,1.00728,0.000445912,0.000445912,0.000445912
22,378.423,1.04381,0.78587,1.0096,0.5422,0.46476,0.49246,0.32922,1.08597,0.81754,1.01904,0.000440408,0.000440408,0.000440408
23,395.423,1.03685,0.78106,1.00701,0.66173,0.44989,0.51954,0.35856,1.03076,0.79091,0.9996,0.000434903,0.000434903,0.000434903
24,412.281,1.03084,0.77674,1.00368,0.51911,0.48441,0.48756,0.3331,1.04568,0.79934,1.00644,0.000429399,0.000429399,0.000429399
25,429.552,1.02928,0.76609,1.00563,0.54765,0.54315,0.53361,0.35405,1.0322,0.7866,1.00135,0.000423894,0.000423894,0.000423894
26,446.544,1.02981,0.76047,1.00314,0.47122,0.60113,0.53579,0.36147,1.02942,0.78527,0.99976,0.00041839,0.00041839,0.00041839
27,463.371,1.01666,0.75654,1.0006,0.45561,0.5412,0.5173,0.34376,1.02884,0.78325,1.0009,0.000412886,0.000412886,0.000412886
28,480.364,1.01401,0.74283,0.99839,0.55866,0.54245,0.53223,0.35959,1.04096,0.78655,0.99733,0.000407381,0.000407381,0.000407381
29,497.173,1.01511,0.74556,1.00173,0.48765,0.53855,0.50818,0.34065,1.04094,0.78617,1.00177,0.000401877,0.000401877,0.000401877
30,513.926,1.01427,0.74042,0.99964,0.54782,0.53349,0.53194,0.36051,1.03069,0.78261,0.99976,0.000396372,0.000396372,0.000396372
31,530.967,1.00546,0.73257,0.99328,0.56003,0.48879,0.50649,0.34831,1.04055,0.80177,1.00626,0.000390868,0.000390868,0.000390868
32,547.851,1.00165,0.72608,0.99162,0.42134,0.52004,0.50859,0.34285,1.03051,0.77755,1.00696,0.000385364,0.000385364,0.000385364
33,564.631,1.00303,0.73064,0.99312,0.54863,0.54441,0.54846,0.37173,1.03915,0.78479,1.00508,0.000379859,0.000379859,0.000379859
34,581.653,0.99229,0.71277,0.98688,0.5283,0.5289,0.54671,0.37657,1.02797,0.76052,1.00124,0.000374355,0.000374355,0.000374355
35,598.525,0.99104,0.71266,0.98631,0.47943,0.51474,0.53313,0.36791,1.02499,0.7862,1.00157,0.00036885,0.00036885,0.00036885
36,615.486,0.99313,0.71564,0.98795,0.4445,0.56795,0.52677,0.35614,1.03552,0.78135,1.00315,0.000363346,0.000363346,0.000363346
37,632.117,0.98698,0.70646,0.98638,0.47871,0.55202,0.52443,0.35507,1.04947,0.79939,1.00949,0.000357842,0.000357842,0.000357842
38,649.057,0.98495,0.70266,0.98379,0.4831,0.59765,0.53717,0.36447,1.03912,0.78241,1.00559,0.000352337,0.000352337,0.000352337
39,665.856,0.97524,0.69591,0.98069,0.5573,0.54593,0.54539,0.37856,1.02467,0.76422,1.00325,0.000346833,0.000346833,0.000346833
40,682.742,0.97979,0.69445,0.98244,0.66227,0.46204,0.52989,0.37208,1.03023,0.78787,1.00357,0.000341328,0.000341328,0.000341328
41,699.619,0.97516,0.68761,0.9809,0.57026,0.52357,0.54099,0.37624,1.02007,0.77246,1.00525,0.000335824,0.000335824,0.000335824
42,716.345,0.97188,0.68575,0.98072,0.59251,0.4868,0.5146,0.35629,1.0418,0.7895,1.00938,0.00033032,0.00033032,0.00033032
43,733.347,0.96946,0.68122,0.9795,0.44234,0.51709,0.51228,0.35812,1.03269,0.77337,1.00701,0.000324815,0.000324815,0.000324815
