epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9264,1.54864,1.99976,1.32195,0.48586,0.47973,0.45707,0.26589,1.21246,1.18977,1.12214,0.00018452,0.00018452,0.00018452
2,52.8343,1.2858,1.21326,1.16163,0.6207,0.58892,0.61977,0.39455,1.16017,1.05433,1.0954,0.000366192,0.000366192,0.000366192
3,77.7448,1.24732,1.13119,1.14497,0.62561,0.61496,0.64072,0.40905,1.17043,0.99752,1.09328,0.000544194,0.000544194,0.000544194
4,101.613,1.21442,1.0694,1.12312,0.68077,0.63843,0.68133,0.45519,1.14927,0.97185,1.07598,0.000539487,0.000539487,0.000539487
5,125.869,1.19731,1.0287,1.10972,0.74534,0.6721,0.73485,0.49279,1.1303,0.91703,1.07565,0.000533982,0.000533982,0.000533982
6,150.014,1.16881,1.00323,1.10245,0.737,0.69107,0.74564,0.51216,1.09971,0.8997,1.05596,0.000528478,0.000528478,0.000528478
7,174.835,1.15621,0.97529,1.09779,0.72567,0.70413,0.75515,0.52607,1.09332,0.91506,1.0533,0.000522974,0.000522974,0.000522974
8,198.945,1.14873,0.96562,1.09506,0.75056,0.71725,0.77366,0.53726,1.08605,0.87242,1.04832,0.000517469,0.000517469,0.000517469
9,223.167,1.13027,0.94265,1.08266,0.74082,0.75005,0.78647,0.55093,1.08428,0.85846,1.04979,0.000511965,0.000511965,0.000511965
10,247.12,1.12302,0.93152,1.08092,0.75648,0.74373,0.78821,0.5458,1.10823,0.86286,1.05182,0.00050646,0.00050646,0.00050646
11,271.48,1.11666,0.91747,1.07304,0.76897,0.73603,0.80386,0.56526,1.09448,0.86195,1.04685,0.000500956,0.000500956,0.000500956
12,295.417,1.10821,0.90078,1.07034,0.78326,0.7379,0.79677,0.56841,1.04519,0.82154,1.0283,0.000495452,0.000495452,0.000495452
13,320.054,1.0959,0.8892,1.06356,0.78681,0.73556,0.80082,0.57382,1.06855,0.83337,1.03453,0.000489947,0.000489947,0.000489947
14,344.75,1.08889,0.87741,1.06016,0.78968,0.7446,0.8081,0.57669,1.05005,0.81969,1.03121,0.000484443,0.000484443,0.000484443
15,368.899,1.08047,0.8721,1.05924,0.7972,0.75731,0.81378,0.58596,1.04701,0.8147,1.0271,0.000478938,0.000478938,0.000478938
16,392.927,1.07679,0.86313,1.05658,0.77726,0.75539,0.81454,0.59141,1.04381,0.80135,1.03264,0.000473434,0.000473434,0.000473434
17,417.255,1.08065,0.8555,1.05349,0.78205,0.76447,0.81801,0.59514,1.03141,0.80773,1.01953,0.00046793,0.00046793,0.00046793
18,441.411,1.06013,0.84058,1.04749,0.7793,0.78351,0.83199,0.60785,1.02506,0.79729,1.02247,0.000462425,0.000462425,0.000462425
19,465.619,1.06446,0.84236,1.05076,0.7989,0.7691,0.82584,0.60737,1.01754,0.78632,1.0231,0.000456921,0.000456921,0.000456921
20,489.937,1.05091,0.82587,1.04072,0.80832,0.76608,0.83116,0.60986,1.03227,0.79309,1.0219,0.000451416,0.000451416,0.000451416
21,514.292,1.04669,0.8226,1.04148,0.801,0.77102,0.83128,0.61208,1.02298,0.78221,1.01638,0.000445912,0.000445912,0.000445912
22,538.311,1.04666,0.8188,1.03774,0.78838,0.77682,0.82444,0.60921,1.0227,0.78381,1.01632,0.000440408,0.000440408,0.000440408
23,562.279,1.04402,0.80642,1.03445,0.81993,0.77678,0.84016,0.61687,1.01703,0.76939,1.01506,0.000434903,0.000434903,0.000434903
24,586.079,1.03608,0.80522,1.03439,0.80906,0.76817,0.83435,0.61791,1.0194,0.77241,1.02123,0.000429399,0.000429399,0.000429399
25,610.519,1.03387,0.79892,1.03225,0.80803,0.77054,0.82758,0.60539,1.02228,0.77976,1.01967,0.000423894,0.000423894,0.000423894
26,636.248,1.02804,0.79032,1.02942,0.79639,0.78161,0.83464,0.61751,1.02613,0.7712,1.0215,0.00041839,0.00041839,0.00041839
27,660.292,1.02245,0.77694,1.02533,0.80859,0.78696,0.84089,0.62201,1.02689,0.76882,1.02025,0.000412886,0.000412886,0.000412886
28,684.937,1.02186,0.77775,1.02722,0.81035,0.79516,0.8396,0.62255,1.01487,0.77052,1.01793,0.000407381,0.000407381,0.000407381
29,708.909,1.01665,0.77035,1.02301,0.80747,0.78426,0.84101,0.62635,1.00963,0.75913,1.00962,0.000401877,0.000401877,0.000401877
30,732.941,1.01346,0.76849,1.02098,0.83166,0.77276,0.84343,0.62785,1.00648,0.7517,1.00745,0.000396372,0.000396372,0.000396372
31,757.538,1.01585,0.76437,1.02017,0.82285,0.78922,0.84516,0.63322,1.01212,0.7596,1.01281,0.000390868,0.000390868,0.000390868
32,781.399,1.00667,0.75095,1.0215,0.818,0.77975,0.84365,0.62972,1.02145,0.75287,1.01608,0.000385364,0.000385364,0.000385364
33,805.278,1.00106,0.74905,1.02179,0.81668,0.78151,0.84337,0.63371,0.99894,0.74604,1.01263,0.000379859,0.000379859,0.000379859
34,829.968,1.00133,0.74574,1.0155,0.82926,0.7932,0.84623,0.63691,0.99558,0.75074,1.00972,0.000374355,0.000374355,0.000374355
35,853.894,0.99403,0.73713,1.01269,0.82445,0.79672,0.85153,0.64136,0.99643,0.7466,1.01037,0.00036885,0.00036885,0.00036885
36,878.068,0.98757,0.73489,1.01013,0.82688,0.80278,0.85371,0.64253,0.99757,0.74573,1.00908,0.000363346,0.000363346,0.000363346
37,902.394,0.99193,0.73541,1.01166,0.82492,0.80721,0.85959,0.65017,0.99913,0.72672,1.00631,0.000357842,0.000357842,0.000357842
38,926.503,0.9826,0.72267,1.00569,0.82476,0.79359,0.85156,0.63893,1.01076,0.74398,1.01093,0.000352337,0.000352337,0.000352337
